Puzzle,Solution,Solution Count,
002001000000700500000060140504010700000809000016000020000005000081476000700000900,472591386168734592359268147594612738237849615816357429643925871981476253725183964,1,
000850100000006020200000958000501670000620083000030000010000060003000002500009810,479852136835196724261473958328541679194627583756938241917284365683715492542369817,1,
000006000070830001930710200706029000489007000020600000000000000090168300007203080,251946738674832591938715264716429853489357126325681479863574912592168347147293685,1,
000005000008406529270000000006008493000000600000032000000964700040500900000000030,964285317318476529275391846126758493583149672497632185832964751741523968659817234,1,
002817040600430807000002000000570100750008036020004080000000300400000200060000000,532817649691435827847962513384576192759128436126394785975281364413659278268743951,1,
061030700809000026000000080608000510007009000000000203305900001080070000000001802,461238759859714326723695184698423517237159468514867293345982671182376945976541832,1,
054000020010002600006000030043800006080100003501009480005600040000300000029000000,854763129317982654296514738943875216782146593561239487135697842478321965629458371,1,
068007300307090000000406800000010000093000008080000050001080564000500003070160000,468257391357891426219436875645918237793625148182374659931782564826549713574163982,1,
000000380000075000000908002500004700001000000308000054400029005103050000000030001,915642387284375169637918542569284713741563298328791654476129835193857426852436971,1,
000200000908300706000000549072400000840509000000000300000002090000000805085007003,764295138958341726321678549672483951843519672519726384136852497297134865485967213,1,
920007006306000000000004900000001000030640000287009000000890060070000010600003802,925187436346925178718364925469271583531648297287539641153892764872456319694713852,1,
000074000000000300900000704405023910230000600009500000197346000060010000300700000,823974561741265389956138724475623918238491675619587243197346852562819437384752196,1,
090000600005030908200700300048090006000308070960000030000050700600000005800900000,493185627715632948286749351348297516521368479967514832132856794679423185854971263,1,
000070206000000401002080000006005008700200590009048000050096802020800000000020000,435179286897652431162384957246935718783261594519748623351496872924817365678523149,1,
500004021200108407000020090864700010010090860009000004640000000075000000008000000,587964321296138457431527698864752913712493865359681274643215789975846132128379546,1,
200000050000000261007600030080506000050083000002009070090028000000000000806007900,263841759948735261517692438189576324754283196632419875495328617371964582826157943,1,
802010600000500000000060080700000901600700350938600200000300020001000000000007006,852413697369578412147269583725834961614792358938651274476385129281946735593127846,1,
104000003070000600500000000710240008006805000030007000800750004300001005000008200,164579823972384651583162479715246398496835712238917546829753164347621985651498237,1,
050000000000670250780002030000301400000005000000000308605700000400000072200104600,952413786143678259786592134897361425364285917521947368635729841419836572278154693,1,
030402000400000080020630007000004000700210600000708000200091000004000008179000003,537482169496175382821639457362954871748213695915768234283591746654327918179846523,1,
719002000402000000080000010000008500050031080240050100100900030800000000097420000,719562348432817659685394217371248596956731482248659173124986735863175924597423861,1,
000000600000870301020900000090008240000004860000300000080006920900430000061000000,819543672456872391723961458197658243235194867648327519384716925972435186561289734,1,
040200900009100008080007501000000002490000150100000090000000800004016000020005007,641258973579134628283697541765941382492873156138562794317429865854716239926385417,1,
000500830700640010030008000020100007080405060015306080000000000200000000001700026,162597834758643219439218675624189357387425961915376482573962148246851793891734526,1,
000000000070090000934005000040030805100007090890400002000900510002040000000000024,628314759571892346934765281247139865165287493893456172486923517752641938319578624,1,
600030000009000030000050000027300000500010209008900000080000120006021703010507060,674138592259476831831259647927385416563714289148962375785693124496821753312547968,1,
904010070018000000570620000000090000006400001000200509000800260000050007000070908,964518372218734695573629184425197836396485721187263549759841263832956417641372958,1,
000635900050000000001008060000300000209001080508000016493000000080000002000460090,842635971956174238371928465714386529269751384538249716493812657687593142125467893,1,
807103000100200000006040000300802701900700004000000000000000073000908120008600009,897163245145289367236547918364852791982716534571394682619425873453978126728631459,1,
000390008000007204000000000860000043009008000040052000700005030000200059006800000,275394168613587294984126375862719543159438627347652981721945836438261759596873412,1,
700090100609000502000520300003240001000000400000017905014000000350009700960000000,725394186639871542481526397593248671176935428248617935814763259352189764967452813,1,
805170006003090000002600073030200000200050000009060050000080010000000000007905300,845173926763592481192648573536214897271859634489367152354786219928431765617925348,1,
700010020000000050000000000506800030280503009090062070600000100005007260020100795,758914326462738951139625847576891432284573619391462578647259183915387264823146795,1,
000060000000007012000100000050090000036000008001086307068020003090010200015030090,172869534589347612643152789857293461436571928921486357768925143394618275215734896,1,
004005080000046090000000000006290048047000006090000000009080507000520000600039020,134975682782346195965812473516293748247158936893467251329684517478521369651739824,1,
000000300306201000970306240000407000000900000400002910040803060200000000600000782,124789356356241897978356241893417625512968473467532918741823569289675134635194782,1,
400000500800000060075800004000040012000506000000700805000087400240300006067000308,416279583829453761375861294753948612182536947694712835531687429248395176967124358,1,
000700301940105002003280400000000000700040005002000900500000020080020007010009084,825794361946135872173286459631952748798643215452817936569478123384521697217369584,1,
160500000000000500000000160900020070002704000004806050407002000009000600001009207,168543729793261584245978163916325478582794316374816952437652891829137645651489237,1,
005307900000050000000060800000000008610000007079013250000080070100906500000275000,485327916296851743731469825354792168612548397879613254523184679147936582968275431,1,
000000000000200600560000700000090002870600090050408000100006200080007501025801004,298764153317259648564183729641395872873612495952478316139546287486927531725831964,1,
002000001007500008450701032070080000280035000001607000000003000035402080000850000,692348571317529468458761932973284156286135794541697823864973215735412689129856347,1,
890005006000010300200603800000096000080000500000302000000000204040800005000000689,893725416476918352215643897321596748689471523754382961568139274942867135137254689,1,
100230500680000030000006008200000000000400000034580029040900080000000950060013000,197238564685749231423156798216397845958462317734581629342975186871624953569813472,1,
200931005001800000050000009000000000307000000005703040500078002403200000002010830,274931685931856724658427319149682573327145968865793241516378492483269157792514836,1,
000000807000007010150080240009000002080000050000401906010070000000800561900065000,694512837823947615157683249469358172281796453375421986516274398742839561938165724,1,
000000020800637500003508000060075000400000600005001040106300002008102400000000000,657914328812637594943528716269475183481293675735861249176349852398152467524786931,1,
000071000400009000500000000007400039300006200009030070004050602025060700000020013,892671345463589127571243968657412839348796251219835476934157682125368794786924513,1,
003000490800000301002050000000923000040000000000580009020870000930000107000000820,153768492867492351492351786785923614249617538316584279521876943938245167674139825,1,
080000030400036000007004180300000001000000000650080407000300800000067040000510602,286751934419836725537294186398475261174629358652183497765342819821967543943518672,1,
