Puzzle,Solution,Solution Count,
835000000092003450001200000000000000000000009029000108050701804014900370008302510,835194627792683451461275983146829735387516249529437168253761894614958372978342516,1,
002000000009130000000956000000000600000500080300049205000000960000400038806003120,562874391489132756713956842245318679691527483378649215134285967927461538856793124,1,
890540006016980000400200000000010004540863001630000080000000000000002590900000000,892541376316987452475236819289715634547863921631429785758194263164372598923658147,1,
000630007003000009500080100008000005070009040000000816049010300630000008007000090,984631527713524689562987134328146975176859243495273816849715362631492758257368491,1,
000300850600000104005000073001008460000000000080472000000765001000083006000201005,714396852632857194895124673921538467473619528586472319248765931157983246369241785,1,
006000000003970000000408000030840960000005200520000004009734080002009000060000000,876153429243976851915428736731842965694315278528697314159734682382569147467281593,1,
000000600000508000090102000250900000680004095010000000900006017020800060500017042,872493651146578329395162784257981436683724195419635278934256817721849563568317942,1,
000060000000008007010000800080010000020040300400030690206009100090720040100006008,738564219562198437914273865389612754625947381471835692256489173893721546147356928,1,
049000000520006000100000000465802010000500028800100490608005000200008041070000000,349751862527486139186329754465892317791534628832167495618945273253678941974213586,1,
500604009028100000000230000009001450005908032100060080081000300040800000000000000,513684729728159643694237518879321456465978132132465987281596374947813265356742891,1,
080002070041600200000100008800005702000430000300067001006000300200300050000000000,689542173741683295523179648864915732172438569395267481956824317217396854438751926,1,
010000000306000049094700830060100005000600000400000000040900150008030007035006000,812349576376815249594762831769184325281653794453297618647928153928531467135476982,1,
050004000000806000080010600000003001000000790000971068000400050840030000006500170,651394287273856419489712635967283541138645792524971368712469853845137926396528174,1,
006130500740080020010047006000000400000000060000020780030000200060500100100000034,286139547749685321513247896978356412324718965651924783837461259462593178195872634,1,
007040000000080000600000710030200080005000000008367500062070000010420008000103005,257641893341789256689532714736254189425918367198367542962875431513426978874193625,1,
850070000000010000000000000100050007000700806704000520007260090908004001405000060,859476132273915684641823759186352947532749816794681523317268495968534271425197368,1,
240076800009025000701408090005000700000004000600000010100890007000000089002000040,243976851869125374751438692425619738318754926697283415134892567576341289982567143,1,
080000000000000500200000000000943750030070800900020004010200030007005402420097080,781659243346712598259438176862943751134576829975821364518264937697385412423197685,1,
200864007000201040000009601003090000094702030002000000007000900038000002000000468,219864357376251849845379621763195284594782136182643795657428913438916572921537468,1,
