Puzzle,Solution,Solution Count,
060008090001007030000940070904805006086000000507090000008003000000009053000600000,765328491491567238823941675934815726286734519517296384178453962642179853359682147,1,
400000000080020600392000041000000100030060000247000000170600090900000004060073000,416398572785124639392756841659487123831269457247531986178642395923815764564973218,1,
130805400000206030080000007400000050000000000000100600020710800607030000300602700,132875496745296138986341527461987352273564981859123674524719863697438215318652749,1,
105000000000000020406000000900700041800006002607004000004059078009100000000080510,125867493378945126496321857952738641841596732637214985214659378589173264763482519,1,
307000400260300000005000000004037000900000250000000900000080040080049006070206009,397658421261374895845192763524937618938461257716825934659783142182549376473216589,1,
000104097500090000000257010003001000000675000000000700000002600790040002026310000,382164597517893264964257318873921456241675983659438721135782649798546132426319875,1,
940000700003045000000960020000609070700020400800700090000080000439000000000502000,942318765673245189518967324324659871795821436861734592256483917439176258187592643,1,
000000208076000400000000090080030050904507060020900040800000007002000500009004083,193645278276198435458723196681432759934517862527986341845361927362879514719254683,1,
000000000000213000001070200006500018000000000002906500000600003508001069900300800,329465187875213946641879235796542318453187692182936574214698753538721469967354821,1,
400000000070420000000000080030000200020700010910004036083000071700000004000160090,469318752378425169152679483536891247824736915917254836683942571791583624245167398,1,
009046500000200010025071000000700002090300050401000000064000900300000000000000740,139846527746235819825971634653718492297364158481592376564127983378459261912683745,1,
000000000500080702000107080000003001400002008800000050008050406034200000001700000,187425963549386712362197584295873641476512398813649257728951436934268175651734829,1,
001200037060000000700031080000040050007600043600070820000000010000000302084000060,491268537368754291752931684139842756827695143645173829973526418516489372284317965,1,
400709000059638000006000000000020503020000060030900702908005040003000070000092000,482719356759638124316254897694127583127583469835946712968375241243861975571492638,1,
040700013000003600000124900000000070000090000039860100000200800060308002007000400,948756213251983647376124958682431579714592386539867124493275861165348792827619435,1,
004000030203800945780000002049000000002080409000000080000000510900501200100000003,694215837213876945785394162849653721362187459571942386426739518938561274157428693,1,
102079050050008492000000300047005800000700000000010940000007084000800000001902003,132479658756138492984526371347295816619784235528613947295367184463851729871942563,1,
609001000004906000000800010000005007036000008090000000003500009140009800080304100,679231584814956273352847916421685397736192458598473621263518749145769832987324165,1,
002507480001060000000004027030040000046820000800006004000000050003000060100700000,692537481471268935358194627237945816946821573815376294724683159583419762169752348,1,
690300000080100004000000620010000346000000000003000100004605002950410000002000001,695324817287169534341758629519287346476531298823946175134675982958412763762893451,1,
000000000005140000900080001010700800200058037030020000080070004000090300790003200,148367529625149783973285641519734862264958137837621495382576914451892376796413258,1,
028070000140080006079106030000094000000000062000200087000003120010800003000000040,628379514143582796579146238782694351391758462465231987857463129914825673236917845,1,
000400002070060850500200006000600000000000200100090080210000700906078000058040001,683459172472361859591287436847623915369815247125794683214536798936178524758942361,1,
090000500002041000600000040100073000200400050000000100305720000407965320900000000,794382561532641789681597243156873492273419856849256137365728914417965328928134675,1,
000570100006000020010024000050001890060007000400080600000610002000000000709845000,942576138376198524815324976253461897168957243497283615534619782681732459729845361,1,
410090807700000300003200060047000030000000700800000009084100000000960002901007000,416593827728416395593278461147659238659382714832741659284135976375964182961827543,1,
000200000308001000040009030500700040000900007170400052800000000005007001219000000,956234178328571469741689235592713846684925317173468952867142593435897621219356784,1,
000900000000008005059000000900001004002730009480000020001090250007003400040005010,368957142724618395159342876975281634612734589483569721831496257597123468246875913,1,
730602900900070000050008000009005013000900000008000702000209000000060050070351000,734612985986573124251498376629785413317924568548136792165249837493867251872351649,1,
000005720100000060000064108001072403000816000700050000800000340035000607000000000,364185729178329564259764138681972453543816972792453816826597341935241687417638295,1,
803700001700000000006000000000805107207060900300007200005000000000100805000300760,843796521721534689596281473469825137217463958358917246975648312634172895182359764,1,
800400000000000050602080000306009005089060021000014000050006040000300000000002630,895431276134627859672985314316279485489563721527814963253796148761348592948152637,1,
004000000090300700001264000007900060050020000000000400300040006046703501000010304,534897612692351748781264953427938165159426837863175429318549276246783591975612384,1,
002103000000000000050006010086005070300000002007009000075092300009000760010060908,762153894134928657958746213286315479391674582547289136675892341829431765413567928,1,
010009000005678000307004060000050000000000014000000003801047300003090080409030005,618329547245678931397514268184753629536982714972461853851247396763195482429836175,1,
000740210307000000000000060041500000000006025006073100020000050000068002000000640,865749213317625894492831567941582376783916425256473189628394751574168932139257648,1,
085040000104002078370000100000009030000005002000034987000008005001200000007000000,685741293194352678372986154748629531913875462526134987239468715851297346467513829,1,
230700040001005003098020010015200000000130000900000000004001000007093004100800700,236718549741965823598324617415287396672139458983456271354671982827593164169842735,1,
000006000000008000800249000006300100140000000000500023000000090200600540090003010,312756984964138257857249631526384179143972865789561423678415392231697548495823716,1,
630000000450006002009450000000003009380090000090670000000000500000027400760530000,632719854451386792879452316527143689386295147194678235243961578915827463768534921,1,
200070600000509000504100000060000970850704100000020050000080017600000840020000000,231478695786539421594162783462351978853794162917826354349685217675213849128947536,1,
001700050000010093060043000000190000005000008000004007100007300057006089009400000,831729456574618293962543871748195632615372948293864517186957324457236189329481765,1,
100040000000000005005000700040701900810030500003580010300800060057009304000000000,179645823438172695265398741546721938812934576793586412324857169657219384981463257,1,
700040065080005000900301800000004103007000096403690700056010000009500000000000000,731248965284965317965371842698754123527183496413692758356819274849527631172436589,1,
094000607080002034037000509040320000000040058000608000000200003000056000000090040,294531687586972134137864529849325716612749358375618492451287963923456871768193245,1,
042000071800007000300046000756000800004008002000000003408000500010000000500100004,642853971895217436371946285756321849134598762289764153428639517913475628567182394,1,
000010009090046000040008000854000001003000070006095000780409500000083000000500060,638712459597346182142958736854637291913824675276195348781469523465283917329571864,1,
960000000000009000020060000093600500050010003001054006300070009047000605010020704,968731452735249168124568397493682571652917843871354926386475219247193685519826734,1,
008600050600040010023000009910002000004100082000003000000804000000001306000500001,148629753679345218523718469917482635354176982862953174231864597785291346496537821,1,
